降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0.0,24.6,16.0,6,2,6.8,15.1
0,25.9,15.3,6,2,2.8,15.4
0.0,25.6,15.6,6,3,8.8,15.5
0.0,25.2,17.5,7,2,8.5,15.5
0.0,25.0,16.5,7,4,9.3,17.4
82.0,21.9,16.3,7,0,10.0,22.4
0,25.2,14.1,3,3,8.0,13.3
0,27.0,15.2,7,2,4.0,12.3
0,31.0,16.4,9,1,0.3,12.6
0,31.9,17.0,8,1,0.0,14.7
0,32.6,18.6,7,3,5.3,17.4
0,32.4,19.9,7,2,5.0,19.4
1.0,28.1,19.1,8,4,10.0,17.5
7.5,25.1,16.8,8,4,10.0,20.0
0.0,26.0,16.6,8,2,5.8,15.1
0.0,24.2,19.5,8,4,10.0,19.0
0,25.7,18.6,8,4,10.0,18.4
0,25.0,19.0,7,4,10.0,20.0
0.0,27.0,18.7,6,4,9.5,19.5
0,27.7,17.6,8,3,7.8,19.8
0,25.8,20.0,8,4,9.3,20.9
0,32.3,18.7,6,2,6.0,21.0
19.5,23.4,19.0,7,10,10.0,23.5
0.0,25.4,18.7,5,4,9.3,21.7
10.0,20.7,15.9,3,4,10.0,17.8
92.5,17.4,14.9,0,0,10.0,18.4
1.0,23.6,15.0,15,4,8.8,16.3
0.5,21.5,14.5,6,4,9.5,15.9
0,26.4,13.9,8,2,1.5,17.8
0.0,26.8,17.7,7,4,7.5,18.9
51.0,20.9,16.2,15,0,10.0,19.5
5.0,30.7,16.9,14,2,3.3,18.0
0,28.7,17.4,14,2,6.5,14.1
0,27.7,20.0,7,2,6.0,19.1
0,28.6,18.8,7,2,6.0,21.8
0.0,29.1,21.1,2,4,9.3,23.0
0.0,29.5,22.3,7,4,10.0,24.5
6.0,25.3,20.6,6,10,8.0,24.2
0.0,24.0,19.6,3,4,10.0,22.4
25.5,21.0,17.8,1,10,10.0,21.6
0,27.3,17.2,7,4,6.8,21.6
0,28.9,20.4,8,2,8.5,23.2
2.0,28.7,22.8,9,4,10.0,26.2
3.5,30.7,21.4,7,4,10.0,27.7
3.0,21.5,19.0,0,10,10.0,23.4
5.5,23.6,20.3,0,10,10.0,25.7
1.5,24.3,21.0,1,10,10.0,27.5
0.5,28.1,21.5,7,4,10.0,27.6
1.0,29.1,22.2,7,4,10.0,27.0
