降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0,24.6,15.5,8,4,10.0,14.2
0,25.2,16.9,8,2,8.0,13.8
0,26.8,18.0,7,2,8.8,13.9
0,26.2,17.2,7,3,10.0,12.4
0.0,26.0,17.2,7,2,8.8,12.5
1.5,24.4,17.7,6,4,10.0,14.6
72.0,25.8,16.9,14,10,8.3,14.2
0,27.3,14.3,14,2,5.5,6.5
0,29.6,13.6,1,1,0.5,7.9
0,30.8,15.9,15,1,0.3,8.3
0,33.9,17.8,0,1,1.0,8.6
0,33.3,19.0,0,3,6.0,12.4
0,32.7,20.5,7,3,9.8,13.9
39.0,22.7,17.5,6,10,10.0,18.7
3.5,24.1,16.6,14,4,10.0,10.7
0,27.5,12.5,8,2,4.8,10.0
0.0,25.0,18.8,9,4,10.0,15.5
0,28.3,17.7,15,3,9.3,13.5
0.0,24.6,18.9,7,4,10.0,16.4
0.0,28.2,18.5,8,3,10.0,16.5
0,28.6,19.0,8,3,9.5,17.1
0.0,29.2,21.2,9,4,6.3,17.5
0,32.3,20.9,13,2,7.5,14.1
51.5,24.1,17.7,15,0,10.0,17.1
0.0,28.6,19.2,14,4,10.0,18.5
6.0,20.4,16.4,15,10,10.0,19.2
16.5,20.5,17.9,15,10,8.3,21.1
3.5,26.4,17.3,7,2,8.8,19.4
0.0,26.7,17.3,7,2,7.3,18.4
0,28.1,17.6,8,2,5.3,18.5
1.0,27.9,17.7,7,4,9.3,18.0
21.0,23.9,17.1,15,4,10.0,20.7
1.0,24.4,17.9,13,2,7.5,17.0
0,27.4,16.9,13,2,6.3,14.8
0,27.8,17.6,9,3,7.8,17.3
0,30.0,18.6,6,2,4.5,18.6
0,32.1,20.6,14,2,1.5,19.7
0,30.1,22.1,7,4,10.0,22.4
0.0,30.3,22.0,14,4,8.8,20.3
1.5,28.9,20.3,13,3,9.3,18.0
2.0,30.1,19.7,14,2,6.3,17.2
0,31.0,19.2,15,2,0.8,18.0
0.0,30.3,21.6,7,4,9.0,20.5
32.0,25.5,23.0,7,10,10.0,26.8
3.5,28.8,22.7,1,4,8.5,27.6
2.0,29.8,24.1,7,4,10.0,28.7
30.5,26.3,23.1,7,10,10.0,30.8
10.5,27.8,22.3,8,10,10.0,26.9
